2018-03-19 09:58:36.373728;Only Chuck Norris shuts down websites without due process, not SOPA or PIPA.
2018-03-19 09:58:41.296035;When Chuck Norris is web surfing websites get the message &quot;Warning: Internet Explorer has deemed this user to be malicious or dangerous. Proceed?&quot;.
2018-03-19 09:58:46.315435;# Chuck Norris's show is called Walker: Texas Ranger, because Chuck Norris doesn't run.
2018-03-19 09:58:51.359382;Along with his black belt, Chuck Norris often chooses to wear brown shoes. No one has DARED call him on it. Ever.
2018-03-19 09:58:56.340835;Chuck Norris never goes to the dentist because his teeth are unbreakable. His enemies never go to the dentist because they have no teeth.
2018-03-19 09:59:01.386615;A study showed the leading causes of death in the United States are: 1. Heart disease, 2. Chuck Norris, 3. Cancer
2018-03-19 09:59:06.420681;Chuck Norris can speak Braille.
2018-03-19 09:59:11.376902;Chuck Norris doesn't see dead people. He makes people dead.
2018-03-19 09:59:16.396985;Chuck Norris recently had the idea to sell his urine as a canned beverage. We know this beverage as Red Bull.
2018-03-19 09:59:21.388944;When Chuck Norris plays Oregon Trail, his family does not die from cholera or dysentery, but rather, roundhouse kicks to the face. He also requires no wagon, since he carries the oxen, axels, and buffalo meat on his back. He always makes it to Oregon before you.
2018-03-19 09:59:26.408089;Some kids play Kick the can. Chuck Norris played Kick the keg.
2018-03-19 09:59:31.414733;Science Fact: Roundhouse kicks are comprised primarily of an element called Chucktanium.
2018-03-19 09:59:36.398396;Chuck Norris never wet his bed as a child. The bed wet itself out of fear.
2018-03-19 09:59:41.415930;Chuck Norris is currently suing myspace for taking the name of what he calls everything around you.
2018-03-19 09:59:46.590240;There are no steroids in baseball. Just players Chuck Norris has breathed on.
2018-03-19 09:59:51.450230;Chuck Norris once challenged Lance Armstrong in a &quot;Who has more testicles?&quot; contest. Chuck Norris won by 5.
2018-03-19 09:59:56.459405;Fact: Chuck Norris doesn't consider it sex if the woman survives.
2018-03-19 10:00:01.454954;Chuck Norris doesn't use Oracle, he is the Oracle.
2018-03-19 10:00:06.454586;The phrase 'balls to the wall' was originally conceived to describe Chuck Norris entering any building smaller than an aircraft hangar.
2018-03-19 10:00:11.483998;Some people ask for a Kleenex when they sneeze, Chuck Norris asks for a body bag.
2018-03-19 10:00:16.497682;The phrase 'balls to the wall' was originally conceived to describe Chuck Norris entering any building smaller than an aircraft hangar.
2018-03-19 10:00:21.492297;Chuck Norris already went to Moon and Mars, that's why there are no signs of life.
2018-03-19 10:00:26.713514;Chuck Norris is ten feet tall, weighs two-tons, breathes fire, and could eat a hammer and take a shotgun blast standing.
2018-03-19 10:00:31.515770;As a teen, Chuck Norris had sex with every nun in a convent tucked away in the hills of Tuscany. Nine months later the nuns gave birth to the 1972 Miami Dolphins, the only undefeated and untied team in professional football history.
2018-03-19 10:00:36.537793;Every time Chuck Norris smiles, someone dies. Unless he smiles while he?s roundhouse kicking someone in the face. Then two people die.
2018-03-19 10:00:42.714133;Chuck Norris and Mr. T walked into a bar. The bar was instantly destroyed, as that level of awesome cannot be contained in one building.
2018-03-19 10:00:46.541327;Chuck Norris qualified with a top speed of 324 mph at the Daytona 500, without a car.
2018-03-19 10:00:51.591933;The class object inherits from Chuck Norris
2018-03-19 10:00:56.553435;Chuck Norris's programs can pass the Turing Test by staring at the interrogator.
2018-03-19 10:01:01.571037;Chuck Norris eats beef jerky and craps gunpowder. Then, he uses that gunpowder to make a bullet, which he uses to kill a cow and make more beef jerky. Some people refer to this as the &quot;Circle of Life.&quot;
2018-03-19 10:01:06.611554;Along with his black belt, Chuck Norris often chooses to wear brown shoes. No one has DARED call him on it. Ever.
